album,,count,words
Kids See Ghosts,"y'all can't move me, this my movie.",-0.800000011920929,"y'all can't move me, this my movie."
Kids See Ghosts,"she said i'm in the wrong hole, i said i'm lost, uh-uh.",-0.800000011920929,"she said i'm in the wrong hole, i said i'm lost, uh-uh."
Kids See Ghosts,y'all been tellin' jokes that's gon' stress me out.,-0.800000011920929,y'all been tellin' jokes that's gon' stress me out.
Kids See Ghosts,don't like bein' questioned and don't like bein' less than.,-0.800000011920929,don't like bein' questioned and don't like bein' less than.
Late Registration,"""damn ye it'd be stupid to diss you.",-0.8999999761581421,"""damn ye it'd be stupid to diss you."
Late Registration,"yeah you church boy, acting like a thief in disguise.",-0.8999999761581421,"yeah you church boy, acting like a thief in disguise."
Late Registration,"there's no good classes, and that's what yo' ass get.",-0.8999999761581421,"there's no good classes, and that's what yo' ass get."
Late Registration,the devil is alive i feel him breathin.,-0.8999999761581421,the devil is alive i feel him breathin.
Late Registration,"puff puff and pass, don't fuck up rotation.",-0.8999999761581421,"puff puff and pass, don't fuck up rotation."
Late Registration,"fuck all that flirtin', i'm tryin' to get in some drawers.",-0.8999999761581421,"fuck all that flirtin', i'm tryin' to get in some drawers."
Late Registration,"damn, them new loafers hurt my pocket.",-0.8999999761581421,"damn, them new loafers hurt my pocket."
Late Registration,"bitch, is you smokin reefer?.",-0.8999999761581421,"bitch, is you smokin reefer?."
Late Registration,arguin' over babysitters like bitch it's yo turn.,-0.8999999761581421,arguin' over babysitters like bitch it's yo turn.
Late Registration,and it hurts to see these companies be stealin the life.,-0.8999999761581421,and it hurts to see these companies be stealin the life.
My Beautiful Dark Twisted Fantasy,"tell me what i gotta do to be that guy. said her price go down, she ever fuck a black guy.",-0.8999999761581421,"tell me what i gotta do to be that guy. said her price go down, she ever fuck a black guy."
My Beautiful Dark Twisted Fantasy,"seems to be the only way to back you bastards up. . . gossip, gossip, nigga just stop it.",-0.8999999761581421,"seems to be the only way to back you bastards up. . . gossip, gossip, nigga just stop it."
My Beautiful Dark Twisted Fantasy,lost in translation with a whole fucking nation.,-0.8999999761581421,lost in translation with a whole fucking nation.
My Beautiful Dark Twisted Fantasy,"and 'ye already told you we major, you cockroaches.",-0.8999999761581421,"and 'ye already told you we major, you cockroaches."
My Beautiful Dark Twisted Fantasy,lookin' at my bitch i bet she give your ass a bone.,-0.8999999761581421,lookin' at my bitch i bet she give your ass a bone.
My Beautiful Dark Twisted Fantasy,look at you mother fucking butt ass naked....,-0.8999999761581421,look at you mother fucking butt ass naked....
My Beautiful Dark Twisted Fantasy,"oh, oh. . . look like a fat booty celine dion.",-0.8999999761581421,"oh, oh. . . look like a fat booty celine dion."
My Beautiful Dark Twisted Fantasy,cause the look in your eyes is killing me.,-0.8999999761581421,cause the look in your eyes is killing me.
My Beautiful Dark Twisted Fantasy,i'ma need to see your fucking hands at the concert.,-0.8999999761581421,i'ma need to see your fucking hands at the concert.
My Beautiful Dark Twisted Fantasy,"let's call out names, names, i hate you, more.",-0.8999999761581421,"let's call out names, names, i hate you, more."
The College Dropout,you know the kids gon' act a fool.,-0.8999999761581421,you know the kids gon' act a fool.
The College Dropout,some say he arrogant.,-0.8999999761581421,some say he arrogant.
The College Dropout,"'cuz we don't wanna hear that weak shit no mo'. . . n-now, th-th-throw your motherfuckin' hands.",-0.8999999761581421,"'cuz we don't wanna hear that weak shit no mo'. . . n-now, th-th-throw your motherfuckin' hands."
The College Dropout,"so, like i'm just straight holdin' the phone, gettin' the bad news that dude was tryin' to leave my company.",-0.8999999761581421,"so, like i'm just straight holdin' the phone, gettin' the bad news that dude was tryin' to leave my company."
The College Dropout,"tell me who's invited: you, your friends and my dick.",-0.8999999761581421,"tell me who's invited: you, your friends and my dick."
The College Dropout,"then she cut it all off, now she look like eve. and she be dealin' with some issues that you can't believe.",-0.8999999761581421,"then she cut it all off, now she look like eve. and she be dealin' with some issues that you can't believe."
The College Dropout,you's a bitch i got ones that are thicker than you.,-0.8999999761581421,you's a bitch i got ones that are thicker than you.
The College Dropout,"and i still won't grow up, i'm a grown-ass kid.",-0.8999999761581421,"and i still won't grow up, i'm a grown-ass kid."
The College Dropout,swear i should be locked up for stupid shit that i did.,-0.8999999761581421,swear i should be locked up for stupid shit that i did.
The College Dropout,and ain't no loans for sittin' your ass at home.,-0.8999999761581421,and ain't no loans for sittin' your ass at home.
The Life of Pablo,"wake up versace, shit life desiigner.",-0.8999999761581421,"wake up versace, shit life desiigner."
The Life of Pablo,"i hate the new kanye, the bad mood kanye.",-0.8999999761581421,"i hate the new kanye, the bad mood kanye."
The Life of Pablo,don't fool yourself.,-0.8999999761581421,don't fool yourself.
The Life of Pablo,"yeah, this type of shit you just ride out to.",-0.8999999761581421,"yeah, this type of shit you just ride out to."
The Life of Pablo,you wanna ask some questions 'bout some real shit?.,-0.8999999761581421,you wanna ask some questions 'bout some real shit?.
The Life of Pablo,"pain of a brother, your dirty mother.",-0.8999999761581421,"pain of a brother, your dirty mother."
The Life of Pablo,yeah i'm the one your bitch like.,-0.8999999761581421,yeah i'm the one your bitch like.
The Life of Pablo,but you were suckin' a nigga dick the whole time.,-0.8999999761581421,but you were suckin' a nigga dick the whole time.
The Life of Pablo,"hurt him bad, people get divorced for that.",-0.8999999761581421,"hurt him bad, people get divorced for that."
The Life of Pablo,"you're dealing with malpractice, don't kill a good nigga's confidence.",-0.8999999761581421,"you're dealing with malpractice, don't kill a good nigga's confidence."
Watch the Throne,so the nigga that killed him had keys to his shit.,-0.8999999761581421,so the nigga that killed him had keys to his shit.
Watch the Throne,something on some of this realest shit.,-0.8999999761581421,something on some of this realest shit.
Watch the Throne,y'all don't know that don't shit faze me.,-0.8999999761581421,y'all don't know that don't shit faze me.
Watch the Throne,"shit gotta come some way, fuck.",-0.8999999761581421,"shit gotta come some way, fuck."
Watch the Throne,"shit feelin� like death, don�t it?.",-0.8999999761581421,"shit feelin� like death, don�t it?."
Watch the Throne,i�m done i'll hit you up ma�a...nah!. . .,-0.8999999761581421,i�m done i'll hit you up ma�a...nah!. . .
Watch the Throne,"rappers hear watch the throne, they gon' be pissed off.",-0.8999999761581421,"rappers hear watch the throne, they gon' be pissed off."
Watch the Throne,this shit weird.,-0.8999999761581421,this shit weird.
Watch the Throne,that's my bitch. . .,-0.8999999761581421,that's my bitch. . .
Watch the Throne,fuck that bitch; she don�t wanna dance.,-0.8999999761581421,fuck that bitch; she don�t wanna dance.
Yeezus,after that he's just hopeless.,-0.8999999761581421,after that he's just hopeless.
Yeezus,"yeezy season approachin'. fuck whatever y'all been hearin'. fuck what, fuck whatever y'all been wearin'. a monster about to come alive again.",-0.8999999761581421,"yeezy season approachin'. fuck whatever y'all been hearin'. fuck what, fuck whatever y'all been wearin'. a monster about to come alive again."
Yeezus,he only wanna see that ass in reverse.,-0.8999999761581421,he only wanna see that ass in reverse.
Yeezus,now what the fuck they gon' say now?. . .,-0.8999999761581421,now what the fuck they gon' say now?. . .
Yeezus,bitch you don't even know us.,-0.8999999761581421,bitch you don't even know us.
Yeezus,number one question they're askin'. fuck every question you askin' . if i don't get ran out by catholics .,-0.8999999761581421,number one question they're askin'. fuck every question you askin' . if i don't get ran out by catholics .
Yeezus,how much do i not give a fuck?. let me show you right now 'fore you give it up.,-0.8999999761581421,how much do i not give a fuck?. let me show you right now 'fore you give it up.
Yeezus,stop all that coon shit .,-0.8999999761581421,stop all that coon shit .
Yeezus,i would've been blacked out on your ass. . . god!.,-0.8999999761581421,i would've been blacked out on your ass. . . god!.
Yeezus,fuck you and your corporation.,-0.8999999761581421,fuck you and your corporation.
ye,ever embarrassed they girl .,-0.8999999761581421,ever embarrassed they girl .
ye,"damn, that ass bustin' out the bottom.",-0.8999999761581421,"damn, that ass bustin' out the bottom."
ye,"ayy, ayy, i'ma fuck around and make you my bitch. . . yeah, you supermodel thick.",-0.8999999761581421,"ayy, ayy, i'ma fuck around and make you my bitch. . . yeah, you supermodel thick."
ye,"all in the comments, you wanna vomit.",-0.8999999761581421,"all in the comments, you wanna vomit."
ye,"this is why your bitches fuck with me, huh.",-0.8999999761581421,"this is why your bitches fuck with me, huh."
ye,guarantee that bitch gonna leave you.,-0.8999999761581421,guarantee that bitch gonna leave you.
ye,"if you whoop her ass, she move in with him.",-0.8999999761581421,"if you whoop her ass, she move in with him."
ye,pay the fire marshal bill 'cause this shit done got way packed.,-0.8999999761581421,pay the fire marshal bill 'cause this shit done got way packed.
ye,"see, this is why all the bitches fuck with ye!. fuck what they talk about!sometimes i scare myself, myself.",-0.8999999761581421,"see, this is why all the bitches fuck with ye!. fuck what they talk about!sometimes i scare myself, myself."
ye,she told you not to do that shit .,-0.8999999761581421,she told you not to do that shit .
